0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
0010101110101001010101010101011010101010101010101001010101101001010111010100 0010101110101001011010101001010101010101010101101010101010101001010111010100 separated by 160529
0010101110110001010101010101011010101010101010101001010101101000110111010100 0010101110110001011010101001010101010101010101101010101010101000110111010100 separated by 163333
0010101110110100010101010101011010101010101010101001010101100010110111010100 0010101110110100011010101001010101010101010101101010101010100010110111010100 separated by 35237
0010101111000101010101010101011010101010101010101001010101101010001111010100 0010101111000101011010101001010101010101010101101010101010101010001111010100 separated by 163285
0010101111001001010101010101011010101010101010101001010101101001001111010100 0010101111001001011010101001010101010101010101101010101010101001001111010100 separated by 161585
0010101111010001010101010101011010101010101010101001010101101000101111010100 0010101111010001011010101001010101010101010101101010101010101000101111010100 separated by 161585
0010101111010100010101010101011010101010101010101001010101100010101111010100 0010101111010100011010101001010101010101010101101010101010100010101111010100 separated by 35237
0010101111100001010101010101011010101010101010101001010101101000011111010100 0010101111100001011010101001010101010101010101101010101010101000011111010100 separated by 171141
0010110001010111010101010101011010101010101010101001010101101110101000110100 0010110001010111011010101001010101010101010101101010101010101110101000110100 separated by 35267
0010110001110101010101010101011010101010101010101001010101101010111000110100 0010110001110101011010101001010101010101010101101010101010101010111000110100 separated by 163620
0010110010101101010101010101011010101010101010101001010101101011010100110100 0010110010101101011010101001010101010101010101101010101010101011010100110100 separated by 163300
0010110010110101010101010101011010101010101010101001010101101010110100110100 0010110010110101011010101001010101010101010101101010101010101010110100110100 separated by 163485
0010110011010101010101010101011010101010101010101001010101101010101100110100 0010110011010101011010101001010101010101010101101010101010101010101100110100 separated by 163295
0010110011100101010101010101011010101010101010101001010101101010011100110100 0010110011100101011010101001010101010101010101101010101010101010011100110100 separated by 163295
001011001110011001011001100101101001100110100110011001100110011001100110011100110100 001011001110011001100110011001100110011001011001100101101001100110100110011100110100 separated by 70926
0010110100110101010101010101011010101010101010101001010101101010110010110100 0010110100110101011010101001010101010101010101101010101010101010110010110100 separated by 163298
0010110101000111010101010101011010101010101010101001010101101110001010110100 0010110101000111011010101001010101010101010101101010101010101110001010110100 separated by 35276
0010110101001101010101010101011010101010101010101001010101101011001010110100 0010110101001101011010101001010101010101010101101010101010101011001010110100 separated by 161575
0010110101010101010101010101011010101010101010101001010101101010101010110100 0010110101010101011010101001010101010101010101101010101010101010101010110100 separated by 163303
0010110101011001010101010101011010101010101010101001010101101001101010110100 0010110101011001011010101001010101010101010101101010101010101001101010110100 separated by 161585
0010110101100101010101010101011010101010101010101001010101101010011010110100 0010110101100101011010101001010101010101010101101010101010101010011010110100 separated by 163295
001011010110011001011001100101101001100110100110011001100110011001100110011010110100 001011010110011001100110011001100110011001011001100101101001100110100110011010110100 separated by 164875
0010110110010101010101010101011010101010101010101001010101101010100110110100 0010110110010101011010101001010101010101010101101010101010101010100110110100 separated by 298412
00101101100110011001100110011001100110011010011001100110011001011001100110110100 00101101100110011010011001100110011001011001100110011001100110011001100110110100 separated by 166090
0010110110100101010101010101011010101010101010101001010101101010010110110100 0010110110100101011010101001010101010101010101101010101010101010010110110100 separated by 163485
0010110110101001010101010101011010101010101010101001010101101001010110110100 0010110110101001011010101001010101010101010101101010101010101001010110110100 separated by 160529
001011011010100101010101010101010101011010101010101010101010100101101001010110110100 001011011010100101101001010101010101010101010110101010101010101010101001010110110100 separated by 128810
0010110111000101010101010101011010101010101010101001010101101010001110110100 0010110111000101011010101001010101010101010101101010101010101010001110110100 separated by 163300
0010110111010100010101010101011010101010101010101001010101100010101110110100 0010110111010100011010101001010101010101010101101010101010100010101110110100 separated by 35237
0010111000110101010101010101011010101010101010101001010101101010110001110100 0010111000110101011010101001010101010101010101101010101010101010110001110100 separated by 163304
0010111001010101010101010101011010101010101010101001010101101010101001110100 0010111001010101011010101001010101010101010101101010101010101010101001110100 separated by 163285
0010111001100101010101010101011010101010101010101001010101101010011001110100 0010111001100101011010101001010101010101010101101010101010101010011001110100 separated by 163285
001011100110011001011001100101101001100110100110011001100110011001100110011001110100 001011100110011001100110011001100110011001011001100101101001100110100110011001110100 separated by 298343
0010111010010101010101010101011010101010101010101001010101101010100101110100 0010111010010101011010101001010101010101010101101010101010101010100101110100 separated by 315577
00101110100110011001100110011001100110011010011001100110011001011001100101110100 00101110100110011010011001100110011001011001100110011001100110011001100101110100 separated by 162555
0010111010100101010101010101011010101010101010101001010101101010010101110100 0010111010100101011010101001010101010101010101101010101010101010010101110100 separated by 163285
001011101010011001011001100101101001100110100110011001100110011001100110010101110100 001011101010011001100110011001100110011001011001100101101001100110100110010101110100 separated by 70926
0010111010101001010101010101011010101010101010101001010101101001010101110100 0010111010101001011010101001010101010101010101101010101010101001010101110100 separated by 160529
0010111011000101010101010101011010101010101010101001010101101010001101110100 0010111011000101011010101001010101010101010101101010101010101010001101110100 separated by 163295
0010111011010100010101010101011010101010101010101001010101100010101101110100 0010111011010100011010101001010101010101010101101010101010100010101101110100 separated by 35237
0010111100010101010101010101011010101010101010101001010101101010100011110100 0010111100010101011010101001010101010101010101101010101010101010100011110100 separated by 315577
0010111100100101010101010101011010101010101010101001010101101010010011110100 0010111100100101011010101001010101010101010101101010101010101010010011110100 separated by 163285
0010111101000101010101010101011010101010101010101001010101101010001011110100 0010111101000101011010101001010101010101010101101010101010101010001011110100 separated by 163295
0010111101010001010101010101011010101010101010101001010101101000101011110100 0010111101010001011010101001010101010101010101101010101010101000101011110100 separated by 160225
0010111101010100010101010101011010101010101010101001010101100010101011110100 0010111101010100011010101001010101010101010101101010101010100010101011110100 separated by 35237
0010111110000101010101010101011010101010101010101001010101101010000111110100 0010111110000101011010101001010101010101010101101010101010101010000111110100 separated by 171049
0011000011110101010101010101011010101010101010101001010101101010111100001100 0011000011110101011010101001010101010101010101101010101010101010111100001100 separated by 171687
0011000101011101010101010101011010101010101010101001010101101011101010001100 0011000101011101011010101001010101010101010101101010101010101011101010001100 separated by 163285
0011000101110101010101010101011010101010101010101001010101101010111010001100 0011000101110101011010101001010101010101010101101010101010101010111010001100 separated by 163300
0011000110110101010101010101011010101010101010101001010101101010110110001100 0011000110110101011010101001010101010101010101101010101010101010110110001100 separated by 163333
0011000111010101010101010101011010101010101010101001010101101010101110001100 0011000111010101011010101001010101010101010101101010101010101010101110001100 separated by 163333
0011000111100101010101010101011010101010101010101001010101101010011110001100 0011000111100101011010101001010101010101010101101010101010101010011110001100 separated by 163285
0011001001010111010101010101011010101010101010101001010101101110101001001100 0011001001010111011010101001010101010101010101101010101010101110101001001100 separated by 31071
0011001001110101010101010101011010101010101010101001010101101010111001001100 0011001001110101011010101001010101010101010101101010101010101010111001001100 separated by 163285
00110010011110011001100110011001100110011010011001100110011001011001111001001100 00110010011110011010011001100110011001011001100110011001100110011001111001001100 separated by 161628
0011001010011101010101010101011010101010101010101001010101101011100101001100 0011001010011101011010101001010101010101010101101010101010101011100101001100 separated by 161575
0011001010101101010101010101011010101010101010101001010101101011010101001100 0011001010101101011010101001010101010101010101101010101010101011010101001100 separated by 163503
0011001010110011010101010101011010101010101010101001010101101100110101001100 0011001010110011011010101001010101010101010101101010101010101100110101001100 separated by 88528
0011001010110101010101010101011010101010101010101001010101101010110101001100 0011001010110101011010101001010101010101010101101010101010101010110101001100 separated by 163298
0011001010110110010101010101011010101010101010101001010101100110110101001100 0011001010110110011010101001010101010101010101101010101010100110110101001100 separated by 31060
0011001010111001010101010101011010101010101010101001010101101001110101001100 0011001010111001011010101001010101010101010101101010101010101001110101001100 separated by 161785
0011001011010101010101010101011010101010101010101001010101101010101101001100 0011001011010101011010101001010101010101010101101010101010101010101101001100 separated by 163620
00110010110110011001100110011001100110011010011001100110011001011001101101001100 00110010110110011010011001100110011001011001100110011001100110011001101101001100 separated by 162128
0011001011100101010101010101011010101010101010101001010101101010011101001100 0011001011100101011010101001010101010101010101101010101010101010011101001100 separated by 163285
0011001100110101010101010101011010101010101010101001010101101010110011001100 0011001100110101011010101001010101010101010101101010101010101010110011001100 separated by 163298
001100110011011001011001100101101001100110100110011001100110011001100110110011001100 001100110011011001100110011001100110011001011001100101101001100110100110110011001100 separated by 161585
00110011001110011001100110011001100110011010011001100110011001011001110011001100 00110011001110011010011001100110011001011001100110011001100110011001110011001100 separated by 161628
0011001101010101010101010101011010101010101010101001010101101010101011001100 0011001101010101011010101001010101010101010101101010101010101010101011001100 separated by 163300
0011001101100101010101010101011010101010101010101001010101101010011011001100 0011001101100101011010101001010101010101010101101010101010101010011011001100 separated by 163285
001100110110011001011001100101101001100110100110011001100110011001100110011011001100 001100110110011001100110011001100110011001011001100101101001100110100110011011001100 separated by 222582
00110011011010011001100110011001100110011010011001100110011001011001011011001100 00110011011010011010011001100110011001011001100110011001100110011001011011001100 separated by 162128
0011001110010101010101010101011010101010101010101001010101101010100111001100 0011001110010101011010101001010101010101010101101010101010101010100111001100 separated by 315577
00110011100110011001100110011001100110011010011001100110011001011001100111001100 00110011100110011010011001100110011001011001100110011001100110011001100111001100 separated by 166305
0011001110100101010101010101011010101010101010101001010101101010010111001100 0011001110100101011010101001010101010101010101101010101010101010010111001100 separated by 163285
0011001110101001010101010101011010101010101010101001010101101001010111001100 0011001110101001011010101001010101010101010101101010101010101001010111001100 separated by 161775
0011001111000101010101010101011010101010101010101001010101101010001111001100 0011001111000101011010101001010101010101010101101010101010101010001111001100 separated by 163285
00110011110010011001100110011001100110011010011001100110011001011001001111001100 00110011110010011010011001100110011001011001100110011001100110011001001111001100 separated by 90694
0011010001011101010101010101011010101010101010101001010101101011101000101100 0011010001011101011010101001010101010101010101101010101010101011101000101100 separated by 161575
0011010001110101010101010101011010101010101010101001010101101010111000101100 0011010001110101011010101001010101010101010101101010101010101010111000101100 separated by 163304
0011010010011101010101010101011010101010101010101001010101101011100100101100 0011010010011101011010101001010101010101010101101010101010101011100100101100 separated by 29680
0011010010101101010101010101011010101010101010101001010101101011010100101100 0011010010101101011010101001010101010101010101101010101010101011010100101100 separated by 163498
0011010010110101010101010101011010101010101010101001010101101010110100101100 0011010010110101011010101001010101010101010101101010101010101010110100101100 separated by 163300
0011010011010101010101010101011010101010101010101001010101101010101100101100 0011010011010101011010101001010101010101010101101010101010101010101100101100 separated by 163330
0011010011100101010101010101011010101010101010101001010101101010011100101100 0011010011100101011010101001010101010101010101101010101010101010011100101100 separated by 163300
0011010100011101010101010101011010101010101010101001010101101011100010101100 0011010100011101011010101001010101010101010101101010101010101011100010101100 separated by 161775
0011010100101101010101010101011010101010101010101001010101101011010010101100 0011010100101101011010101001010101010101010101101010101010101011010010101100 separated by 161775
0011010100110101010101010101011010101010101010101001010101101010110010101100 0011010100110101011010101001010101010101010101101010101010101010110010101100 separated by 163298
0011010100111001010101010101011010101010101010101001010101101001110010101100 0011010100111001011010101001010101010101010101101010101010101001110010101100 separated by 161580
0011010101001101010101010101011010101010101010101001010101101011001010101100 0011010101001101011010101001010101010101010101101010101010101011001010101100 separated by 163303
0011010101010101010101010101011010101010101010101001010101101010101010101100 0011010101010101011010101001010101010101010101101010101010101010101010101100 separated by 163298
0011010101011001010101010101011010101010101010101001010101101001101010101100 0011010101011001011010101001010101010101010101101010101010101001101010101100 separated by 160529
0011010101100101010101010101011010101010101010101001010101101010011010101100 0011010101100101011010101001010101010101010101101010101010101010011010101100 separated by 163300
001101010110011001011001100101101001100110100110011001100110011001100110011010101100 001101010110011001100110011001100110011001011001100101101001100110100110011010101100 separated by 164835
0011010101101001010101010101011010101010101010101001010101101001011010101100 0011010101101001011010101001010101010101010101101010101010101001011010101100 separated by 163303
0011010101110001010101010101011010101010101010101001010101101000111010101100 0011010101110001011010101001010101010101010101101010101010101000111010101100 separated by 160529
0011010110010101010101010101011010101010101010101001010101101010100110101100 0011010110010101011010101001010101010101010101101010101010101010100110101100 separated by 316304
00110101100110011001100110011001100110011010011001100110011001011001100110101100 00110101100110011010011001100110011001011001100110011001100110011001100110101100 separated by 166090
0011010110100101010101010101011010101010101010101001010101101010010110101100 0011010110100101011010101001010101010101010101101010101010101010010110101100 separated by 163300
0011010110101001010101010101011010101010101010101001010101101001010110101100 0011010110101001011010101001010101010101010101101010101010101001010110101100 separated by 160529
001101011010100101010101010101010101011010101010101010101010100101101001010110101100 001101011010100101101001010101010101010101010110101010101010101010101001010110101100 separated by 128735
0011010111000101010101010101011010101010101010101001010101101010001110101100 0011010111000101011010101001010101010101010101101010101010101010001110101100 separated by 163300
0011010111010001010101010101011010101010101010101001010101101000101110101100 0011010111010001011010101001010101010101010101101010101010101000101110101100 separated by 160529
0011011000110101010101010101011010101010101010101001010101101010110001101100 0011011000110101011010101001010101010101010101101010101010101010110001101100 separated by 163298
0011011001010101010101010101011010101010101010101001010101101010101001101100 0011011001010101011010101001010101010101010101101010101010101010101001101100 separated by 163285
0011011001100101010101010101011010101010101010101001010101101010011001101100 0011011001100101011010101001010101010101010101101010101010101010011001101100 separated by 163285
001101100110011001011001100101101001100110100110011001100110011001100110011001101100 001101100110011001100110011001100110011001011001100101101001100110100110011001101100 separated by 298393
0011011010010101010101010101011010101010101010101001010101101010100101101100 0011011010010101011010101001010101010101010101101010101010101010100101101100 separated by 316380
00110110100110011001100110011001100110011010011001100110011001011001100101101100 00110110100110011010011001100110011001011001100110011001100110011001100101101100 separated by 162555
0011011010100011010101010101011010101010101010101001010101101100010101101100 0011011010100011011010101001010101010101010101101010101010101100010101101100 separated by 34717
0011011010100101010101010101011010101010101010101001010101101010010101101100 0011011010100101011010101001010101010101010101101010101010101010010101101100 separated by 163285
0011011010101001010101010101011010101010101010101001010101101001010101101100 0011011010101001011010101001010101010101010101101010101010101001010101101100 separated by 162065
0011011011000101010101010101011010101010101010101001010101101010001101101100 0011011011000101011010101001010101010101010101101010101010101010001101101100 separated by 163333
0011011100010101010101010101011010101010101010101001010101101010100011101100 0011011100010101011010101001010101010101010101101010101010101010100011101100 separated by 315581
0011011100100101010101010101011010101010101010101001010101101010010011101100 0011011100100101011010101001010101010101010101101010101010101010010011101100 separated by 163285
0011011101000101010101010101011010101010101010101001010101101010001011101100 0011011101000101011010101001010101010101010101101010101010101010001011101100 separated by 163300
0011011101010001010101010101011010101010101010101001010101101000101011101100 0011011101010001011010101001010101010101010101101010101010101000101011101100 separated by 160529
0011011110000101010101010101011010101010101010101001010101101010000111101100 0011011110000101011010101001010101010101010101101010101010101010000111101100 separated by 171049
0011100001110101010101010101011010101010101010101001010101101010111000011100 0011100001110101011010101001010101010101010101101010101010101010111000011100 separated by 171049
0011100010101101010101010101011010101010101010101001010101101011010100011100 0011100010101101011010101001010101010101010101101010101010101011010100011100 separated by 163300
0011100010110101010101010101011010101010101010101001010101101010110100011100 0011100010110101011010101001010101010101010101101010101010101010110100011100 separated by 163333
0011100011010101010101010101011010101010101010101001010101101010101100011100 0011100011010101011010101001010101010101010101101010101010101010101100011100 separated by 163300
0011100011100101010101010101011010101010101010101001010101101010011100011100 0011100011100101011010101001010101010101010101101010101010101010011100011100 separated by 163490
0011100100110101010101010101011010101010101010101001010101101010110010011100 0011100100110101011010101001010101010101010101101010101010101010110010011100 separated by 163299
0011100101001101010101010101011010101010101010101001010101101011001010011100 0011100101001101011010101001010101010101010101101010101010101011001010011100 separated by 161580
0011100101010101010101010101011010101010101010101001010101101010101010011100 0011100101010101011010101001010101010101010101101010101010101010101010011100 separated by 163299
0011100101011001010101010101011010101010101010101001010101101001101010011100 0011100101011001011010101001010101010101010101101010101010101001101010011100 separated by 161585
00111001010110010110011001011001100101011001100110100110011010101001101010011100 00111001010110010101011001100101100110011010100110011010011001101001101010011100 separated by 31915
0011100101011010100101010101011010101010101010101001010101010101101010011100 0011100101011010101010101001010101010101010101101010101010010101101010011100 separated by 31915
0011100101100101010101010101011010101010101010101001010101101010011010011100 0011100101100101011010101001010101010101010101101010101010101010011010011100 separated by 163300
001110010110011001011001100101101001100110100110011001100110011001100110011010011100 001110010110011001100110011001100110011001011001100101101001100110100110011010011100 separated by 164835
0011100110010101010101010101011010101010101010101001010101101010100110011100 0011100110010101011010101001010101010101010101101010101010101010100110011100 separated by 316782
00111001100110011001100110011001100110011010011001100110011001011001100110011100 00111001100110011010011001100110011001011001100110011001100110011001100110011100 separated by 298393
0011100110100101010101010101011010101010101010101001010101101010010110011100 0011100110100101011010101001010101010101010101101010101010101010010110011100 separated by 163330
0011100110101001010101010101011010101010101010101001010101101001010110011100 0011100110101001011010101001010101010101010101101010101010101001010110011100 separated by 160529
001110011010100101010101010101010101011010101010101010101010100101101001010110011100 001110011010100101101001010101010101010101010110101010101010101010101001010110011100 separated by 128740
0011100111000101010101010101011010101010101010101001010101101010001110011100 0011100111000101011010101001010101010101010101101010101010101010001110011100 separated by 163300
0011101000101101010101010101011010101010101010101001010101101011010001011100 0011101000101101011010101001010101010101010101101010101010101011010001011100 separated by 140136
0011101000110101010101010101011010101010101010101001010101101010110001011100 0011101000110101011010101001010101010101010101101010101010101010110001011100 separated by 163313
0011101001001101010101010101011010101010101010101001010101101011001001011100 0011101001001101011010101001010101010101010101101010101010101011001001011100 separated by 29680
0011101001010101010101010101011010101010101010101001010101101010101001011100 0011101001010101011010101001010101010101010101101010101010101010101001011100 separated by 163290
0011101001010110010101010101011010101010101010101001010101100110101001011100 0011101001010110011010101001010101010101010101101010101010100110101001011100 separated by 31381
0011101001100101010101010101011010101010101010101001010101101010011001011100 0011101001100101011010101001010101010101010101101010101010101010011001011100 separated by 163285
001110100110011001011001100101101001100110100110011001100110011001100110011001011100 001110100110011001100110011001100110011001011001100101101001100110100110011001011100 separated by 298343
0011101010001101010101010101011010101010101010101001010101101011000101011100 0011101010001101011010101001010101010101010101101010101010101011000101011100 separated by 161775
0011101010010101010101010101011010101010101010101001010101101010100101011100 0011101010010101011010101001010101010101010101101010101010101010100101011100 separated by 315581
0011101010010110010101010101011010101010101010101001010101100110100101011100 0011101010010110011010101001010101010101010101101010101010100110100101011100 separated by 31381
0011101010011001010101010101011010101010101010101001010101101001100101011100 0011101010011001011010101001010101010101010101101010101010101001100101011100 separated by 161575
00111010100110011001100110011001100110011010011001100110011001011001100101011100 00111010100110011010011001100110011001011001100110011001100110011001100101011100 separated by 163825
0011101010100101010101010101011010101010101010101001010101101010010101011100 0011101010100101011010101001010101010101010101101010101010101010010101011100 separated by 163285
0011101010101001010101010101011010101010101010101001010101101001010101011100 0011101010101001011010101001010101010101010101101010101010101001010101011100 separated by 160529
0011101010110001010101010101011010101010101010101001010101101000110101011100 0011101010110001011010101001010101010101010101101010101010101000110101011100 separated by 163313
0011101010110100010101010101011010101010101010101001010101100010110101011100 0011101010110100011010101001010101010101010101101010101010100010110101011100 separated by 33936
0011101011000101010101010101011010101010101010101001010101101010001101011100 0011101011000101011010101001010101010101010101101010101010101010001101011100 separated by 163300
0011101011010001010101010101011010101010101010101001010101101000101101011100 0011101011010001011010101001010101010101010101101010101010101000101101011100 separated by 140136
0011101011010100010101010101011010101010101010101001010101100010101101011100 0011101011010100011010101001010101010101010101101010101010100010101101011100 separated by 33936
0011101100010101010101010101011010101010101010101001010101101010100011011100 0011101100010101011010101001010101010101010101101010101010101010100011011100 separated by 316782
0011101100100101010101010101011010101010101010101001010101101010010011011100 0011101100100101011010101001010101010101010101101010101010101010010011011100 separated by 163285
0011101101000101010101010101011010101010101010101001010101101010001011011100 0011101101000101011010101001010101010101010101101010101010101010001011011100 separated by 163300
0011101101010001010101010101011010101010101010101001010101101000101011011100 0011101101010001011010101001010101010101010101101010101010101000101011011100 separated by 161580
0011101101010100010101010101011010101010101010101001010101100010101011011100 0011101101010100011010101001010101010101010101101010101010100010101011011100 separated by 33936
0011101110000101010101010101011010101010101010101001010101101010000111011100 0011101110000101011010101001010101010101010101101010101010101010000111011100 separated by 171049
0011110000110101010101010101011010101010101010101001010101101010110000111100 0011110000110101011010101001010101010101010101101010101010101010110000111100 separated by 171146
0011110001010101010101010101011010101010101010101001010101101010101000111100 0011110001010101011010101001010101010101010101101010101010101010101000111100 separated by 163620
0011110001100101010101010101011010101010101010101001010101101010011000111100 0011110001100101011010101001010101010101010101101010101010101010011000111100 separated by 163285
001111000110011001011001100101101001100110100110011001100110011001100110011000111100 001111000110011001100110011001100110011001011001100101101001100110100110011000111100 separated by 298343
0011110010010101010101010101011010101010101010101001010101101010100100111100 0011110010010101011010101001010101010101010101101010101010101010100100111100 separated by 315577
00111100100110011001100110011001100110011010011001100110011001011001100100111100 00111100100110011010011001100110011001011001100110011001100110011001100100111100 separated by 163825
0011110010100101010101010101011010101010101010101001010101101010010100111100 0011110010100101011010101001010101010101010101101010101010101010010100111100 separated by 163285
001111001010011001011001100101101001100110100110011001100110011001100110010100111100 001111001010011001100110011001100110011001011001100101101001100110100110010100111100 separated by 161660
0011110010101001010101010101011010101010101010101001010101101001010100111100 0011110010101001011010101001010101010101010101101010101010101001010100111100 separated by 162065
0011110011000101010101010101011010101010101010101001010101101010001100111100 0011110011000101011010101001010101010101010101101010101010101010001100111100 separated by 163285
0011110100010101010101010101011010101010101010101001010101101010100010111100 0011110100010101011010101001010101010101010101101010101010101010100010111100 separated by 315577
0011110100100101010101010101011010101010101010101001010101101010010010111100 0011110100100101011010101001010101010101010101101010101010101010010010111100 separated by 163285
0011110101000101010101010101011010101010101010101001010101101010001010111100 0011110101000101011010101001010101010101010101101010101010101010001010111100 separated by 163285
0011110101001001010101010101011010101010101010101001010101101001001010111100 0011110101001001011010101001010101010101010101101010101010101001001010111100 separated by 163299
0011110101010001010101010101011010101010101010101001010101101000101010111100 0011110101010001011010101001010101010101010101101010101010101000101010111100 separated by 160529
0011110110000101010101010101011010101010101010101001010101101010000110111100 0011110110000101011010101001010101010101010101101010101010101010000110111100 separated by 171049
0011111000010101010101010101011010101010101010101001010101101010100001111100 0011111000010101011010101001010101010101010101101010101010101010100001111100 separated by 315577
0011111000100101010101010101011010101010101010101001010101101010010001111100 0011111000100101011010101001010101010101010101101010101010101010010001111100 separated by 163285
0011111001000101010101010101011010101010101010101001010101101010001001111100 0011111001000101011010101001010101010101010101101010101010101010001001111100 separated by 163285
0011111010000101010101010101011010101010101010101001010101101010000101111100 0011111010000101011010101001010101010101010101101010101010101010000101111100 separated by 171072
0011111010100001010101010101011010101010101010101001010101101000010101111100 0011111010100001011010101001010101010101010101101010101010101000010101111100 separated by 171073
0011111100000101010101010101011010101010101010101001010101101010000011111100 0011111100000101011010101001010101010101010101101010101010101010000011111100 separated by 171049
0100000101011111010101010101011010101010101010101001010101101111101010000010 0100000101011111011010101001010101010101010101101010101010101111101010000010 separated by 35242
0100000101111101010101010101011010101010101010101001010101101011111010000010 0100000101111101011010101001010101010101010101101010101010101011111010000010 separated by 140127
0100000111110101010101010101011010101010101010101001010101101010111110000010 0100000111110101011010101001010101010101010101101010101010101010111110000010 separated by 171048
0100001001111101010101010101011010101010101010101001010101101011111001000010 0100001001111101011010101001010101010101010101101010101010101011111001000010 separated by 140127
0100001010111101010101010101011010101010101010101001010101101011110101000010 0100001010111101011010101001010101010101010101101010101010101011110101000010 separated by 171072
0100001011010111010101010101011010101010101010101001010101101110101101000010 0100001011010111011010101001010101010101010101101010101010101110101101000010 separated by 35267
0100001011101101010101010101011010101010101010101001010101101011011101000010 0100001011101101011010101001010101010101010101101010101010101011011101000010 separated by 171072
0100001011110101010101010101011010101010101010101001010101101010111101000010 0100001011110101011010101001010101010101010101101010101010101010111101000010 separated by 171098
0100001101110101010101010101011010101010101010101001010101101010111011000010 0100001101110101011010101001010101010101010101101010101010101010111011000010 separated by 171048
0100001110110101010101010101011010101010101010101001010101101010110111000010 0100001110110101011010101001010101010101010101101010101010101010110111000010 separated by 171048
0100001111010101010101010101011010101010101010101001010101101010101111000010 0100001111010101011010101001010101010101010101101010101010101010101111000010 separated by 171045
0100001111100101010101010101011010101010101010101001010101101010011111000010 0100001111100101011010101001010101010101010101101010101010101010011111000010 separated by 171026
010000111110011001011001100101101001100110100110011001100110011001100110011111000010 010000111110011001100110011001100110011001011001100101101001100110100110011111000010 separated by 70926
0100010001111101010101010101011010101010101010101001010101101011111000100010 0100010001111101011010101001010101010101010101101010101010101011111000100010 separated by 140127
0100010010101111010101010101011010101010101010101001010101101111010100100010 0100010010101111011010101001010101010101010101101010101010101111010100100010 separated by 35276
0100010011011101010101010101011010101010101010101001010101101011101100100010 0100010011011101011010101001010101010101010101101010101010101011101100100010 separated by 140154
0100010011101011010101010101011010101010101010101001010101101101011100100010 0100010011101011011010101001010101010101010101101010101010101101011100100010 separated by 140127
0100010011110101010101010101011010101010101010101001010101101010111100100010 0100010011110101011010101001010101010101010101101010101010101010111100100010 separated by 163313
0100010100101111010101010101011010101010101010101001010101101111010010100010 0100010100101111011010101001010101010101010101101010101010101111010010100010 separated by 35276
0100010100111101010101010101011010101010101010101001010101101011110010100010 0100010100111101011010101001010101010101010101101010101010101011110010100010 separated by 163303
0100010101011101010101010101011010101010101010101001010101101011101010100010 0100010101011101011010101001010101010101010101101010101010101011101010100010 separated by 163303
0100010101100111010101010101011010101010101010101001010101101110011010100010 0100010101100111011010101001010101010101010101101010101010101110011010100010 separated by 35276
0100010101101011010101010101011010101010101010101001010101101101011010100010 0100010101101011011010101001010101010101010101101010101010101101011010100010 separated by 161585
0100010101101101010101010101011010101010101010101001010101101011011010100010 0100010101101101011010101001010101010101010101101010101010101011011010100010 separated by 161585
0100010101110101010101010101011010101010101010101001010101101010111010100010 0100010101110101011010101001010101010101010101101010101010101010111010100010 separated by 163313
0100010101111001010101010101011010101010101010101001010101101001111010100010 0100010101111001011010101001010101010101010101101010101010101001111010100010 separated by 160528
0100010110011101010101010101011010101010101010101001010101101011100110100010 0100010110011101011010101001010101010101010101101010101010101011100110100010 separated by 140127
0100010110101011010101010101011010101010101010101001010101101101010110100010 0100010110101011011010101001010101010101010101101010101010101101010110100010 separated by 161585
0100010110110101010101010101011010101010101010101001010101101010110110100010 0100010110110101011010101001010101010101010101101010101010101010110110100010 separated by 163333
0100010111010101010101010101011010101010101010101001010101101010101110100010 0100010111010101011010101001010101010101010101101010101010101010101110100010 separated by 163303
0100010111100101010101010101011010101010101010101001010101101010011110100010 0100010111100101011010101001010101010101010101101010101010101010011110100010 separated by 163290
0100011001010111010101010101011010101010101010101001010101101110101001100010 0100011001010111011010101001010101010101010101101010101010101110101001100010 separated by 70376
0100011001110101010101010101011010101010101010101001010101101010111001100010 0100011001110101011010101001010101010101010101101010101010101010111001100010 separated by 163285
0100011010101101010101010101011010101010101010101001010101101011010101100010 0100011010101101011010101001010101010101010101101010101010101011010101100010 separated by 163303
0100011010110101010101010101011010101010101010101001010101101010110101100010 0100011010110101011010101001010101010101010101101010101010101010110101100010 separated by 163298
0100011011010101010101010101011010101010101010101001010101101010101101100010 0100011011010101011010101001010101010101010101101010101010101010101101100010 separated by 163285
0100011011100101010101010101011010101010101010101001010101101010011101100010 0100011011100101011010101001010101010101010101101010101010101010011101100010 separated by 163285
010001101110011001011001100101101001100110100110011001100110011001100110011101100010 010001101110011001100110011001100110011001011001100101101001100110100110011101100010 separated by 70926
0100011100110101010101010101011010101010101010101001010101101010110011100010 0100011100110101011010101001010101010101010101101010101010101010110011100010 separated by 163333
0100011101010101010101010101011010101010101010101001010101101010101011100010 0100011101010101011010101001010101010101010101101010101010101010101011100010 separated by 163305
0100011101100101010101010101011010101010101010101001010101101010011011100010 0100011101100101011010101001010101010101010101101010101010101010011011100010 separated by 163285
010001110110011001011001100101101001100110100110011001100110011001100110011011100010 010001110110011001100110011001100110011001011001100101101001100110100110011011100010 separated by 164875
0100011110010101010101010101011010101010101010101001010101101010100111100010 0100011110010101011010101001010101010101010101101010101010101010100111100010 separated by 315577
01000111100110011001100110011001100110011010011001100110011001011001100111100010 01000111100110011010011001100110011001011001100110011001100110011001100111100010 separated by 166085
